sno,material_name,supplier,rate_usd_per_kg,monthly_qty_kg,monthly_cost_usd,source_country,category,annual_qty_kg,annual_cost_usd
1,Omeprazole USP (API),"Tagoor Pharma, Hyderabad India",40.0,1000.0,40000.0,India,API,12000.0,480000.0
2,Sugar Spheres 24#30 BD-0.64g/ml,"Afiq Pharma, Hyderabad India",2.75,2600.0,7150.0,India,Excipient/Solvent,31200.0,85800.0
3,SP-40#50,"Afiq Pharma, Hyderabad India",1.95,200.0,390.0,India,Excipient/Solvent,2400.0,4680.0
4,Sugar Spheres 18#20,"Afiq Pharma, Hyderabad India",1.95,3000.0,5850.0,India,Excipient/Solvent,36000.0,70200.0
5,Sugar Spheres 20#25,"Afiq Pharma, Hyderabad India",1.95,100.0,195.0,India,Excipient/Solvent,1200.0,2340.0
6,Sugar Spheres 16#18,"Afiq Pharma, Hyderabad India",1.95,1000.0,1950.0,India,Excipient/Solvent,12000.0,23400.0
7,Calcium Carbonate,"Afiq Pharma, Hyderabad India",0.93,200.0,186.0,India,Excipient/Solvent,2400.0,2232.0
8,Polysorbate 80,"Afiq Pharma, Hyderabad India",3.8,150.0,570.0,India,Excipient/Solvent,1800.0,6840.0
9,Cross Povidone,"Afiq Pharma, Hyderabad India",15.0,50.0,750.0,India,Excipient/Solvent,600.0,9000.0
10,Disodium Hydrogen Phosphate,"Afiq Pharma, Hyderabad India",3.35,200.0,670.0,India,Excipient/Solvent,2400.0,8040.0
11,SSG (Sodium Starch Glycolate),"Afiq Pharma, Hyderabad India",2.1,25.0,52.5,India,Excipient/Solvent,300.0,630.0
12,DEP (Diethyl Phthalate),"Afiq Pharma, Hyderabad India",3.45,100.0,345.0,India,Excipient/Solvent,1200.0,4140.0
13,Colloidal Silicon Dioxide,"Afiq Pharma, Hyderabad India",7.0,5.0,35.0,India,Excipient/Solvent,60.0,420.0
14,Magnesium Stearate,"Afiq Pharma, Hyderabad India",2.0,40.0,80.0,India,Excipient/Solvent,480.0,960.0
15,Sodium Carbonate,"Afiq Pharma, Hyderabad India",1.72,100.0,172.0,India,Excipient/Solvent,1200.0,2064.0
16,HPMC-P-55,"Afiq Pharma, Hyderabad India",27.0,250.0,6750.0,India,Excipient/Solvent,3000.0,81000.0
17,Cetyl Alcohol,"Afiq Pharma, Hyderabad India",4.0,25.0,100.0,India,Excipient/Solvent,300.0,1200.0
18,SLS (Sodium Lauryl Sulfate),"Afiq Pharma, Hyderabad India",4.25,50.0,212.5,India,Excipient/Solvent,600.0,2550.0
19,Maize Starch,"Afiq Pharma, Hyderabad India",0.92,100.0,92.0,India,Excipient/Solvent,1200.0,1104.0
20,PEG-6000,"Afiq Pharma, Hyderabad India",3.8,500.0,1900.0,India,Excipient/Solvent,6000.0,22800.0
21,Talc,"Afiq Pharma, Hyderabad India",0.9,500.0,450.0,India,Excipient/Solvent,6000.0,5400.0
22,TiO2 (Titanium Dioxide),"Afiq Pharma, Hyderabad India",5.75,300.0,1725.0,India,Excipient/Solvent,3600.0,20700.0
23,L30D (Eudragit),"Med Lab, Ahmedabad India",1.3,10000.0,13000.0,India,Excipient/Solvent,120000.0,156000.0
24,Acrycoat L100,"Corel Pharma, Ahmedabad India",20.13,100.0,2013.0,India,Excipient/Solvent,1200.0,24156.0
25,HDPE Drums with Seals,"Afiq Pharma, Hyderabad India",7.4,1260.0,9324.0,India,Packaging,15120.0,111888.0
26,PVP K30,"MJ Norobio Chem, China",5.0,50.0,250.0,China,Excipient/Solvent,600.0,3000.0
27,Mannitol,"MJ Norobio Chem, China",5.35,750.0,4012.5,China,Excipient/Solvent,9000.0,48150.0
28,HPMC E5,"MJ Norobio Chem, China",6.5,2000.0,13000.0,China,Excipient/Solvent,24000.0,156000.0
29,IPA (Isopropyl Alcohol),"MJ Norobio Chem, China",1.1,3500.0,3850.0,China,Excipient/Solvent,42000.0,46200.0
30,Acetone,"MJ Norobio Chem, China",1.1,1450.0,1595.0,China,Excipient/Solvent,17400.0,19140.0
31,MDC (Methylene Dichloride),"MJ Norobio Chem, China",0.65,200.0,130.0,China,Excipient/Solvent,2400.0,1560.0
32,Sodium Hydroxide,Local Market (Oman),1.2,200.0,240.0,Local,Excipient/Solvent,2400.0,2880.0
33,Esomeprazole Magnesium Trihydrate (API),"Metrochem/Intgrin/Tagoor, Hyderabad",50.0,368.0,18400.0,India,API,4416.0,220800.0
34,Pantoprazole Sodium (API),"Tagoor Pharma, Hyderabad India",50.0,210.0,10500.0,India,API,2520.0,126000.0
35,Tamsulosin HCL (API),"Tagoor Pharma, Hyderabad India",900.0,2.1,1890.0,India,API,25.200000000000003,22680.0
36,Mebeverine HCL (API),"Tagoor Pharma, Hyderabad India",50.0,900.0,45000.0,India,API,10800.0,540000.0
37,Dexlansoprazole (API),"Tagoor Pharma, Hyderabad India",94.0,200.0,18800.0,India,API,2400.0,225600.0
38,Lansoprazole (API),"Tagoor Pharma, Hyderabad India",63.0,400.0,25200.0,India,API,4800.0,302400.0
